Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,incr2015,incr2014,incr2013,incr3year,incr6year
FNHC,Federated National Holding Company,27.82,395903359.8,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/fnhc,15.44,79.83,148.57,451.32,451.32
FEIC,FEI Company,70.35,2874203911.95,n/a,1995,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/feic,-4.49,-0.37,52.77,40.04,40.04
FHCO,Female Health Company (The),1.24,35989551.68,n/a,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/fhco,-61.02,-50.61,16.01,-79.66,-79.66
FENX,"Fenix Parts, Inc.",5.68,114727724.24,n/a,2015,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/fenx,-32.24,,,-32.24,-32.24
GSM,Ferroglobe PLC,9.1,1563727174.1,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gsm,-34.64,-1.64,24.83,-23.06,-23.06
FCSC,Fibrocell Science Inc,3.57,156718662.45,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fcsc,42.63,-49.22,9.07,21.33,21.33
FGEN,"FibroGen, Inc",26,1594713926.0,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fgen,-10.12,24.91,,38.5,38.5
LION,Fidelity Southern Corporation,20.13,464341890.54,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lion,47.85,6.91,66.3,133.62,133.62
FRGI,"Fiesta Restaurant Group, Inc.",33.08,887523796.52,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/frgi,-43.05,17.07,212.33,103.02,103.02
FSAM,Fifth Street Asset Management Inc.,3.19,155159194.74,n/a,2014,Finance,Investment Managers,http://www.nasdaq.com/symbol/fsam,-73.58,-5.75,,-75.05,-75.05
FITB,Fifth Third Bancorp,18.385,14603778928.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitb,8.99,-3.85,38.76,40.17,40.17
FITBI,Fifth Third Bancorp,28.42,511560000.0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitbi,12.47,14.09,0.52,30.77,30.77
FNGN,"Financial Engines, Inc.",31.3,1612005526.2,n/a,2010,Finance,Investment Managers,http://www.nasdaq.com/symbol/fngn,-4.31,-45.75,135.66,17.53,17.53
FISI,"Financial Institutions, Inc.",26.9,381698491.5,n/a,1999,Finance,Major Banks,http://www.nasdaq.com/symbol/fisi,21.23,14.44,30.45,64.78,64.78
FNSR,Finisar Corporation,12.99,1389419194.23,n/a,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/fnsr,-22.62,-19.0,58.45,-2.87,-2.87
FNJN,"Finjan Holdings, Inc.",1.1,24904672.1,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/fnjn,-54.0,-56.11,-47.2,-89.25,-89.25
FNTC,FinTech Acquisition Corp.,9.51,130603996.83,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/fntc,-2.99,,,-2.99,-2.99
FEYE,"FireEye, Inc.",18.32,2941531362.48,n/a,2013,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/feye,-38.42,-46.31,58.39,-42.39,-42.39
FBNC,First Bancorp,18.36,363258365.04,n/a,1987,Finance,Major Banks,http://www.nasdaq.com/symbol/fbnc,7.95,12.4,29.97,52.02,52.02
FNLC,"First Bancorp, Inc (ME)",19.02,204484685.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fnlc,23.4,9.86,5.2,36.61,36.61
BUSE,First Busey Corporation,20.21,579879729.73,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/buse,12.88,16.02,30.22,65.03,65.03
FBIZ,"First Business Financial Services, Inc.",24,208730136.0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbiz,11.76,27.1,65.44,127.25,127.25
FCAP,"First Capital, Inc.",25.86,71337033.96,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fcap,8.96,19.91,10.88,48.8,48.8
FCFS,"First Cash Financial Services, Inc.",38.6,1073328584.0,n/a,1991,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/fcfs,-24.81,-8.88,25.88,-24.96,-24.96
FCNCA,"First Citizens BancShares, Inc.",243.44,2923812993.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcnca,10.17,13.85,31.52,55.36,55.36
FCLF,First Clover Leaf Financial Corp.,9.4,65855300.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fclf,8.99,-1.15,54.68,54.83,54.83
FCBC,"First Community Bancshares, Inc.",17.73,322473630.06,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcbc,19.6,1.32,9.49,30.67,30.67
FCCO,First Community Corporation,14.07,94051801.41,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcco,39.83,8.14,24.62,88.56,88.56
FCFP,"First Community Financial Partners, Inc.",7.23,123083093.43,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcfp,39.23,28.75,29.03,133.55,133.55
FBNK,"First Connecticut Bancorp, Inc.",16.24,257862991.12,n/a,2011,Finance,Banks,http://www.nasdaq.com/symbol/fbnk,15.29,4.49,12.35,27.79,27.79
FDEF,First Defiance Financial Corp.,37.04,339755215.28,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fdef,15.36,38.45,32.34,102.26,102.26
FFBC,First Financial Bancorp.,16.58,1022069507.34,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffbc,9.34,9.57,26.0,41.55,41.55
FFBCW,First Financial Bancorp.,11,0.0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffbcw,76.85,10.94,18.0,100.0,100.0
FFIN,"First Financial Bankshares, Inc.",27.55,1817608715.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffin,17.37,-8.06,62.72,56.81,56.81
THFF,First Financial Corporation Indiana,32.26,409826813.94,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/thff,3.2,3.65,19.7,20.96,20.96
FFNW,"First Financial Northwest, Inc.",13.8,194688578.4,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/ffnw,18.03,12.69,28.95,80.62,80.62
FFWM,First Foundation Inc.,23.36,372888344.96,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffwm,31.94,-4.53,,24.16,24.16
FGBI,"First Guaranty Bancshares, Inc.",18.8,156764006.8,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fgbi,3.06,41.22,14.44,64.79,64.79
INBK,First Internet Bancorp,26.63,119338270.61,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/inbk,77.4,-21.0,47.56,102.14,102.14
FIBK,"First Interstate BancSystem, Inc.",27.32,1238825591.24,n/a,2010,Finance,Major Banks,http://www.nasdaq.com/symbol/fibk,16.81,1.88,80.0,97.23,97.23
FRME,First Merchants Corporation,23.13,876037693.86,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/frme,17.96,7.62,50.34,77.71,77.71
FMBH,"First Mid-Illinois Bancshares, Inc.",26.27,221355643.52,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmbh,44.16,-17.12,0.91,27.97,27.97
FMBI,"First Midwest Bancorp, Inc.",17.16,1337610571.44,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmbi,15.41,-1.54,35.46,48.07,48.07
FNBC,First NBC Bank Holding Company,33.5,638791936.0,n/a,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/fnbc,12.89,5.96,30.73,52.61,52.61
FNFG,First Niagara Financial Group Inc.,10.03,3558505515.79,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fnfg,44.1,-15.05,29.69,45.49,45.49
FNWB,First Northwest Bancorp,13.63,178557906.8,n/a,2015,Finance,Banks,http://www.nasdaq.com/symbol/fnwb,13.29,,,13.29,13.29
FSFG,"First Savings Financial Group, Inc.",35.11,77109284.2,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fsfg,43.26,17.93,16.35,91.88,91.88
FSLR,"First Solar, Inc.",65.62,6622377946.3,n/a,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/fslr,49.3,-14.28,77.26,106.15,106.15
FSBK,First South Bancorp Inc,8.45,80183925.9,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fsbk,7.0,0.51,48.76,66.96,66.96
FUNC,First United Corporation,11.33,70864844.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/func,37.49,-4.04,13.21,69.81,69.81
FMER,FirstMerit Corporation,17.16,2844477618.84,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmer,10.16,-15.03,49.55,37.57,37.57
FSV,FirstService Corporation,35.99,1247694517.89,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/fsv,46.46,,,46.46,46.46
FISV,"Fiserv, Inc.",87.53,20003992060.9,n/a,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/fisv,26.9,21.13,39.89,120.44,120.44
FIVE,"Five Below, Inc.",33.58,1831712840.56,n/a,2012,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/five,-8.75,-1.33,36.34,0.31,0.31
FPRX,"Five Prime Therapeutics, Inc.",35.17,967310017.63,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fprx,66.6,48.26,15.43,202.04,202.04
FIVN,"Five9, Inc.",8.02,405044205.3,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/fivn,104.71,-41.23,,13.87,13.87
FLML,Flamel Technologies S.A.,10.22,411063137.24,40221442,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/flml,-33.13,59.57,93.45,166.59,166.59
FLKS,"Flex Pharma, Inc.",10.75,192896710.0,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/flks,-15.54,,,-15.54,-15.54
